CBA制造业采购经理人指数,CBA Manufacturing PMI 
制造业采购经理人指数,Manufacturing PMI 
上周初请失业救济金人数,Initial Jobless Claims 
BRC商店物价指数,BRC Shop Price Index
SVME制造业采购经理人指数,SVME Manufacturing PMI 
季调后失业率,Unemployment Rate S.A. 
季调后失业总人数,Unemployment Changes S.A. 
季调后失业人数变动,Unemployment Changes 
净消费者信贷,Net Consumer Credit 
央行抵押贷款许可,Mortgage Approvals 
消费者物价指数,CPI 
ISM制造业采购经理人指数,ISM Manufacturing 
营建支出,Building expenditure 
AIG制造业表现指数,AIG Performance of Manufacturing Index 
服务业采购经理人指数,Service PMI 
综合采购经理人指数,Composite PMI 
Sentix投资者信心指数,Sentix Investor Confidence 
生产者物价指数,PPI 
上周ANZ消费者信心指数,ANZ Roy Morgan Weekly Consumer Confidence Index
核心消费者物价指数,Core CPI 
零售销售,Retail Sales 
贸易帐,Trade Balance 
IVEY季调后采购经理人指数,IVEY PMI S.A. 
耐用品订单,Durable Goods Orders 
耐用品订单・剔除运输,Factory orders ex transportation 
工厂订单,Factory Orders 
ISM非制造业采购经理人指数,ISM Non-Manufacturing PMI 
AIG建筑业表现指数,AIG Performance of Construction Index 
劳动现金收入,Labor Cash Earnings 
实际现金收入,Real Cash Earnings 
季调后营建许可,Building Permits S.A. 
季调后制造业订单,Manufacturing Orders S.A. 
服务业景气指数,Services Confidence 
经济景气指数,Economic Confidence 
工业景气指数,Industrial Confidence 
消费者信心指数,Consumer Confidence 
企业景气指数,Business Climate Indicator 
MBA抵押贷款申请活动指数,MBA Mortgage Applications 
ADP就业报告,ADP Employment Change 
消费信贷,Consumer Credit 
BRC总体零售销售,BRC Overall Retail Sales
季调后工业产出,Industrial Production S.A. 
经常帐,Current Account 
实际零售销售,Reality Retail Sales 
失业率,Unemployment Rate 
新屋开工,New Housing Starts 
营建许可,Building Permits 
AIG服务业表现指数,AIG Performance of Service Index 
家庭支出,Overall Household Spending 
季调后零售销售,Retail Sales S.A. 
同步指标,Coincident Index 
领先指标,Leading Index 
非农就业人数变化,Change in Non-farm Payrolls 
平均时薪,Average Hourly Earnings 
就业参与率,Employment Participation Rate 
就业人数变化,Net Change in Employment 
季调后贸易帐,Trade Balance S.A 
工业产出,Industrial Production 
制造业生产,Manufacturing Production 
建筑业产出,Construction Output 
政府预算,Budget Statement 
季调后经常帐,Current Account S.A 
NFIB小型企业信心指数,NFIB Small Business Optimism 
零售物价指数,Retail Price Index 
核心零售物价指数,Core Retail Price Index 
核心生产者物价指数,Core PPI 
纽约联储制造业指数,Empire State Fed Manufacturing Index 
成屋销售,New Home Sales 
3个月RICS房价指数,RICS House Price Balance 3Mths/Year 
核心零售销售,Core Retail Sales 
费城联储制造业指数,Philadelphia Fed Manufacturing Index 
NAHB房产市场指数,NAHB Housing Market Index
长期资本净流入,Permanent Net Capital Inflow  
新屋开工,New Housing Starts 
新屋开工年化总数,New Housing Starts 
营建许可总数,Building Permits 
密歇根大学消费者信心指数,Michigan Consumer Sentiment Index
Rightmove房价指数,Rightmove House Prices 
央行公布利率决定,Interest Rate Decision
三个月ILO失业率,ILO Unemployment Rate 3Mths 
三个月ILO就业人数变动,Employment Change 3M/3M 
失业金申请人数,Jobless Claims Changs 
ZEW经济景气指数,ZEW Confidence Index 
FHFA房价指数,FHFA House Price Balance 
成屋销售,Existing Home Sales 
成屋销售年化总数,Existing Home Sales 
就业人数变动,Employment Changes 
就业参与率,Employment Participation Rate 
咨商会领先指标,Conference Leading Index 
全国消费者物价指数,National CPI 
全国核心消费者物价指数,Core National CPI
IFO商业景气指数,IFO Climate Index 
季调后新屋销售,New Home Sales S.A 
季调后新屋销售年化总数,New Home Sales S.A 
达拉斯联储商业活动指数,Dallas Fed Manufacturing Activity 
NAB商业景气指数,NAB Business Conditions 
NAB商业信心指数,NAB Business Confidence 
咨商会消费者信心指数,Consumer Confidence Index 
里奇蒙德联储制造业指数,Richmond Fed Manufacturing Index 
GFK消费者信心指数,GFK Consumer Confidence 
企业景气指数,Business Climate Indicator 
GDP年化季率,GDP Annualized 
GDP平减指数,GDP Deflate Annualized 
求才求职比,Job-To-Applicant Ratio 
东京消费者物价指数,Tokyo CPI 
9月东京核心消费者物价指数,Core Tokyo CPI 
GFK消费者信心指数,GFK Consumer Confidence 
新屋开工,New Housing Starts
个人收入,Personal Income 
个人支出,Personal Spending 
PCE物价指数,PCE Deflate
核心PCE物价指数,Core PCE Deflate
芝加哥采购经理人指数,Chicago PMI 
